source	reference	generated	cos_sim	bertscore_f1	final_score
﻿What are the different types of servers?	﻿What are the types of servers?	The following is a list of different types of servers:	0.9289	0.8076	0.8804
Which is the best activity of SEO on page?	Seo off page best activity?	Which is the best activity of SEO on page?	1.0	1.0	1.0
How would it be like if there are no Muslims in India?	What would India be like if there were no Muslims in India?	How would it be like if there were no Muslims in India?	0.9895	0.9896	0.9895
How can I increase my concentration?	How do we increase concentration?	Take a nap.	0.2519	0.6577	0.4142
How may I know whether my wife is cheating on me?	How will you know if your partner was or still cheating on you?	How may I know whether my wife is cheating on me?	1.0	1.0	1.0
How does one learn how to hack?	How can I learn hacking?	One learns how to hack by using a hack tool.	0.874	0.8577	0.8675
Is Maggi really bad for health?	Is maggi good for health?	Is Maggi really bad for health	0.9939	0.9325	0.9693
How is it possible to send an anonymous text?	Is it possible to send an anonymous text?	How is it possible to send an anonymous text?	1.0	1.0	1.0
I am thinking of living my life alone. I am 15?	I am thinking of living my life alone. I am 15. Is that a good idea?	I am thinking of living my life alone. I am 15.	0.9369	0.9692	0.9498
What are some must read books about indian army?	What are some interesting books about Indian Army?	Indian Army	0.7024	0.7327	0.7145
What are the goals of profit maximization? What are some examples?	What is the goal of profit maximization?	Profit maximization is the goal of maximizing a company's profits.	0.8223	0.7887	0.8089
Why I think negative about myself ?	Why do I always think about everything negatively?	I think negative about myself .	0.8377	0.8909	0.859
How do I get funding for my web based startup idea?	How do I get to just tell investors about my startup idea?	How to get funding for your web based startup idea	0.9903	0.9087	0.9577
Is there a way to learn programming language quickly? How can I do it?	Which is the best way to learn coding?	Is there a way to learn programming language quickly? How can I do it?	1.0	1.0	1.0
Can a person be in love with two persons at a same time?	Do you believe that you can be in love with two people at the same time?	Can a person be in love with two persons at a same time?	1.0	1.0	1.0
What are some ways of finding the supplement of an angle?	How can you find the supplements of an angle?	What are some ways of finding the supplement of an angle	0.9899	0.9632	0.9792
What are the pros and cons of C# vs Java?	What makes C# a better programming language than Java?	C# vs Java is a programming language that is written in C#.	0.745	0.7848	0.7609
Does the law of attraction really work?	How does law of attraction work? Is it real?	does the law of attraction really work	0.9924	0.9443	0.9732
How do I kill rats?	How can I kill a pack rat?	You can kill a rat with a rat nettle.	0.7384	0.7721	0.7519
How do we know the purpose of our life?	How can I find my purpose in life?	How do we know the purpose of our life?	1.0	1.0	1.0
How do I learn machine learning?	How can I understand machine learning?	Take a class on machine learning.	0.6747	0.7777	0.7159
How do I double my IQ in 3 months?	How can I double my IQ in 3 months?	How to double your IQ in 3 months	0.984	0.894	0.948
What are some amazing facts about Microsoft Windows?	What are some of the mind blowing facts about Google?	Microsoft Windows is a Windows operating system.	0.5817	0.7476	0.6481
How much time does Deloitte generally takes to get back after interview?	How long does an audit innovation at Deloitte take to get back after a partner interview?	a week	0.2892	0.6114	0.4181
Is the Panchayati Raj system really strengthening our democracy, or helping the corruption expansion at the grassroot level?	Political Science: Is the Panchayati Raj system really strengthening our democracy, or helping corruption expansion at the grassroots of democracy?	Is the Panchayati Raj system really strengthening our democracy, or helping the corruption expansion at the grassroot level?	1.0	1.0	1.0
How do I get rid of pimples on my face?	How do I get rid of my acne and get nice skin?	Take a shower and wash your face.	0.5866	0.6969	0.6307
What are good topics for an architecture graduation thesis?	What are interesting projects to consider when thinking about a specific architecture topics for a thesis?	What are good topics for an architecture graduation thesis?	1.0	1.0	1.0
Which answers does Quora show first for each question?	How does the ranking of answers on Quora work?	Which answers does Quora show first for each question?	1.0	1.0	1.0
How do I unlock carrier locked iphones?	How do I unlock a carrier locked iPhone?	How to unlock carrier locked iphones	0.9877	0.9127	0.9577
If a question doesn't need improvement, why does Quora mess with your questions?	Why do my questions on Quora need improving?	Why does Quora mess with your questions?	0.7799	0.9152	0.834
Did the United States instigate the Japanese attack on Pearl Harbor?	Did FDR provoke Japan to attack Pearl Harbor to have an excuse to enter WWII? Did FDR instigate the attack?	yes the United States instigated the Japanese attack on Pearl Harbor	0.8917	0.9353	0.9091
What is wrong with India's education system?	What is wrong with Indian engineering education system?	India's education system is failing	0.8824	0.87	0.8774
Who is god? Has anybody seen god?	What and Who is God?	Who is God? Has anybody seen God?	1.0	1.0	1.0
Is cold fusion a pseudoscience?	Is cold fusion possible?	Is cold fusion pseudoscience?	0.9913	0.9594	0.9785
Why is it I am no longer notified of comments on my answer?	Why am I no longer being informed with a notification when someone comments on my answers?	I am no longer informed of comments on my answer	0.7721	0.9219	0.832
How do you measure a football field in feet?	How do you determine the dimensions of a football field in feet?	Use a tape measure to measure the length of the field.	0.5933	0.759	0.6596
