sentence1	sentence2	label	semantic_similarity	quality_flag
hamper is a practising carpenter in oxford and a member of oxford advent christian church an evangelical church in otisfield maine	she is a practicing joiner in otisfield maine and a member of the oxford advent christian church an evangelical church in oxford	0	0.6948	drift
in the summer of 2007 she performed with the shavnabada ensemble at turkey s folk festival in inegol	in the summer of 2007 she performed with the shavnabada ensemble at the folk festival of turkey in inegol	1	0.9983	strong
the eastern part of chaoyang is home to a mountain that has been called fenghuang mountain since ancient times	the eastern part of the fenghuang mountain is home to a mountain that has been called chaoyang since ancient times	0	0.9956	strong
grose wold is a suburb of new south wales australia in the state of sydney in hawkesbury city	grose wold is a suburb of new south wales australia in the state of sydney it is in the city of hawkesbury	1	0.9959	strong
finally we say that distribution is regular if the formula 11 is concave	finally we say that if formula 11 is regular a distribution is concave	0	0.9542	strong
margaret winser s entry was selected and used with the stamps by g w de saulles engraved	margaret winser s entry was selected and used with the dies engraved by g w de saulles	0	0.8878	strong
she was born in hebron connecticut on december 18 1814 but later settled in litchfield ohio	she was born on december 18 1814 in litchfield ohio but later located in hebron connecticut	0	0.9694	strong
cranoe is a civil village and a small municipality in the harborough district of leicestershire england	cranoe is a small village and civil parish in the harborough district of leicestershire england	0	0.9775	strong
an amo warm phase strengthens the summer rain over the sahel while a cold phase reduces rainfall	an amo warm phase reduces the summer rain over the sahel while a cold phase strengthens it	0	0.9803	strong
sir charles walston from 1918 sir charles waldstein march 30 1856 march 21 1927 was an angloamerican archaeologist	sir charles walston 1918 sir charles waldstein march 30 1856 march 21 1927 was an angloamerican archaeologist	1	0.9976	strong
in 1889 charles charles conger sold it to esler and in may 1891 it sold to horace nichols	esler sold it to charles conger in 1889 who sold it to horace nichols in may 1891	0	0.9715	strong
the house was bought in 1858 by sir george dewhurst of dunira who sold it to david dundas of lymm cheshire in 1864	the house was purchased in 1858 by sir david dundas of dunira who sold it to george dewhurst from lymm cheshire in 1864	0	0.9924	strong
then agrippa polemon i sent from pontus to take scribonius and remove the throne himself	agrippa then sent polemon i of pontus to remove scribonius and take over the throne himself	0	0.9583	strong
cellier was born into a family of actors including his father frank and halfsister antoinette his grandfather was the gilbert and sullivan conductor françois cellier	he was born into a family of actors including his father cellier and halfsister antoinette his grandfather was the gilbert and sullivan conductor françois cellier	0	0.9715	strong
today high point city lake is located where the original family farmhouse and land was situated	today high point city lake is situated where the original farmhouse and country was located	1	0.9387	strong
the original algorithm however would divide the new interval into a smaller and a larger subinterval in step 4	however the original algorithm would divide the new interval in step 4 into a smaller and a larger partial interval	1	0.948	strong
in 1955 the united kingdom italy by hiroshi tada in 1964 and katsuaki asai in 1965 germany	the united kingdom followed in 1955 italy in 1964 by hiroshi tada and germany in 1965 by katsuaki asai	1	0.9173	strong
the village of iron river and the city of stambaugh were consolidated with the city of mineral hills with effect from 1 july 2000	the village of mineral hills and the city of stambaugh were consolidated with the city of iron river with effect from 1 july 2000	0	0.9952	strong
she married eero on june 10 1939 and she had two children eric saarinen born in 1942 and susan saarinen born 1945	she married eero on june 10 1939 and they had two children eric saarinen born 1942 and susan saarinen born 1945	1	0.9947	strong
ambit is a symbolic programming language that was introduced in 1964 by carlos christensen of massachusetts computer associates for historical calculations	ambit is a historical programming language that was introduced by carlos christensen of massachusetts computer associates in 1964 for symbolic computation	0	0.9862	strong
there was also an australian version press your luck from 1987 to 1988 on seven network hosted by ian turpie and later produced by grundy	there was later an australian version of press your luck hosted on seven network by ian turpie from 1987 to 1988 and also produced by grundy	0	0.978	strong
magnus turned heel and reformed the british invasion with williams by attacking the team of eric young and orlando jordan	magnus turned the heel and reformed the british invasion of williams by attacking eric young and orlando jordan s team	1	0.9916	strong
red bank is located in the 4th congressional district and is part of the 11th state legislative district of new jersey	red bank is located in the 11th congressional district and is part of new jersey s 4th state legislative district	0	0.9957	strong
at an auction mr cave made the highest bid for mr payne s product	at an auction mr payne submitted the highest bid for mr cave s goods	0	0.9468	strong
in fact it was not vanuatu but a presentday island in australia	in fact it was not australia but an island in vanuatu today	0	0.9512	strong
the following night delirious put his problems with danielson aside to challenge pearce	the following night delirious set aside his problems with pearce to challenge danielson	0	0.9644	strong
brusio is a municipality located in the canton of switzerland in the bernina region of graubünden	brusio is a municipality in the graubünden in the canton of switzerland in bernina region	1	0.9942	strong
by introducing a prodrug only activated by the specific enzyme viral targeting of cells expressing htert can be achieved	by introducing a product that is activated only by the specific enzyme viral targeting of cells expressing htert can be achieved	1	0.8757	strong
a frondiculus is the only member of the genus which is not found in the western red sea or in the indian ocean	a frondiculus is the only member of the genus that is not present in the western indian ocean or the red sea	0	0.9865	strong
stenoma relata is a moth of the depressariidae family which is found in amazonas french guiana brazil and in peru	stenoma relata is a moth of the depressariidae family it is found in french guiana brazil amazonas and peru	1	0.9954	strong
entries marked with an asterisk are set in the fictional community of king s nodd s ridge	entries marked with an asterisk are set in king s fictional community of nodd s ridge	1	0.9909	strong
according to the united states census bureau the city has a total surface area of which is land and or 135 is water	according to the united states census bureau the city is a total surface area of which has land and or 135 is water	1	0.9959	strong
when the clifton bridge was built in 1866 the ferry became popular with users of portishead railway railway station	when portishead railway was built in 1866 the ferry became popular with users of the clifton bridge railway station	0	0.9737	strong
the historical climate concept and the modern concept are derived from the related term climata	the modern concept of climate and the related term are derived from the historical concept of climata	0	0.9706	strong
in march 1298 he received official mongolian recognition as the ruler of burma	he received mongol official recognition as the ruler of burma in march 1298	1	0.9638	strong
the son of olin m jeffords who served as the chief justice of the supreme court of vermont was born james jeffords in rutland vermont	the son of james jeffords serving as chief justice of the supreme court of vermont was born in rutland vermont olin m jeffords	0	0.9817	strong
in south korean culture pokarekare ana was used as the theme song for the 2005 popular film crying fist	in the popular culture pokarekare ana was used as the title song for the south korean film crying fist 2005	0	0.9708	strong
in 1969 after sinclair and atlantic merged richfield company bp bought the plot	in 1969 after sinclair and bp merged atlantic richfield company bought the property	0	0.9066	strong
william died in 1859 and elizabeth died the following year	william and elizabeth died the following year in 1859	1	0.9674	strong
this version was released in europe and australia on august 18 2016 and north america on january 5 2017	this version was published on august 18 2016 in north america and on january 5 2017 in europe and australia	0	0.8337	moderate
strikingly both childless parents were judged to be less competent for the job than male and female applicants	striking were both male and female parents as less competent for the job than childless applicants	0	0.9216	strong
the work was concluded in 2003 in his fifth it was released the release rush from the same year in august	the work was completed in his fifth in 2003 it was released in august the release rush from the same year	1	0.9784	strong
andrés gómez defeated guillermo pérez roldán 6 0 7 6 3 6 0 6 6 2	andrés gómez defeated guillermo pérez roldán 6 0 7 6 3 6 0 6 6 2	1	1.0	strong
the first oil well in indian territory was drilled in 1885 in atoka county choctaw nation oklahoma though it was not completed until 1888	the first oil source in oklahoma was drilled in 1885 in the atoka county choctaw nation indian territory even though it was not completed until 1888	0	0.9337	strong
connor betrayed shield corporation by telling neyman the truth about the status of the ozone layer	neyman betrayed shield corporation by telling connor the truth about the status of the ozone layer	0	0.991	strong
tom patterson born february 12 1979 is the american entrepreneur who founded tommy john in 2008	thomas john born february 12 1979 is an american entrepreneur who in 2008 founded tom patterson company	0	0.836	moderate
in 2016 the campus milpitas california moved to san jose california	in 2016 the san jose california campus relocated to milpitas california	0	0.9772	strong
he then replanted the movement in brooklyn new york and later in london and monticello new york	he later planted the movement in london and then in brooklyn new york and monticello new york	0	0.9309	strong
they are exhibited in the old cathedral in summer and in the winter in the great cathedral	they are exhibited for worship in the great cathedral in the summer and in the old cathedral in winter	0	0.945	strong
abbott would see action in 24 games for the track athletics that fall and was traded to the florida marlins after the season in exchange for kerwin moore	kerwin moore saw action in 24 games for the athletics that fall and was traded to the florida marlins after the season in exchange for abbott	0	0.8324	moderate
from 1969 the family lived in rented houses in california close to los angeles recording studios	from 1969 onwards the family lived in rented houses in los angeles close to california recording studios	0	0.9942	strong
from 1996 to september 2010 he was ambassador of liechtenstein to belgium	from 1996 to september 2010 he was ambassador to belgium in liechtenstein	0	0.9982	strong
ruhollah khomeini was appointed chief prosecutor by fallahian in 1987 as chief prosecutor of the special court for the clergy and led the trial of mehdi hashemi	in 1987 fallahian was appointed by ruhollah khomeini as chief prosecutor of the special court for the clergy and led the trial against mehdi hashemi	0	0.9337	strong
later he took local councils there and became most of the rulers of the north	he later took local councils and became the most rulers of the north	1	0.9788	strong
