sentence1	sentence2	label
john john magufuli won the presidential election in october 2015 and secured a two-thirds majority in parliament , the other party or main party in tanzania is called chadema .	john magufuli won the october 2015 presidential election and secured a two-thirds majority in parliament . the main party or other party in tanzania is called chadema .	1
he developed players like stefan bogomilov , bozhil kolev , stefan janev , damyan georgiev , ivan derventski , spas kirov , nedko nedev .	he developed players like nedko nedev , ivan derventski , spas kirov , stefan bogomilov , bozhil kolev , stefan yanev , damyan georgiev .	1
helvarg has broadcast more than 40 television documentaries produced by pbs , the discovery channel , and others .	more than 40 television documentaries produced by pbs , the discovery channel and others were broadcast .	1
when john iii died in 1378 , john ii inherited most of these possessions .	johannes iii died in 1378 , when john ii inherited most of these possessions .	1
thomas gluyas was born in moonta mines , the fourth son of william gluyas , a leading pitman .	thomas gluyas was born at moonta mines the fourth son of william gluyas , a leading pitman .	1
the ciolanu river is a tributary of the river albele in romania .	the ciolanu river is a tributary of the albele river in romania .	1
walter hart ( or walter lyhert , died may 24 , 1472 ) was a medieval bishop of norwich .	walter hart ( or walter lyhert ; died 24 may 1472 ) was a medieval bishop of norwich .	1
during the first world war , cary served with a german regiment fighting in the nigerian colony of cameroon .	during the first world war , cary served a german regiment in the nigerian colony of cameroon .	1
główczyce is a non-operational pkp railway station in poland ( główczyce ) , pomeranian voivodeship .	główczyce is a non-operational pkp station in poland ( główczyce ) , pomeranian voivodeship .	1
his son john james was a prominent architect working in winnipeg , and his son george was also an architect in montreal .	his son john james was a prominent architect active in winnipeg and his son george was also an architect active in montreal .	1
the music for the first series was produced by takeo yamashita with vocal performances on tracks by charlie kosei .	the music for the first series was created by takeo yamashita , with vocal performances on tracks by charlie kosei .	1
pohl-stroher was born on 18 january 1919 in wurzen in saxony , vogtland and grew up in rothenkirchen in east germany .	pohl-stroher was born on 18 january 1919 in wurzen in saxony , vogtland and grew up in rothenkirchen , east germany .	1
boas used his positions at columbia university and the american museum of natural history to develop and train multiple generations of students .	his positions at columbia university and the american museum of natural history he used to train and develop several generations of students .	1
rapper eminem mentions dr. dre in his song guilty conscience , in which dee barnes is featured .	rapper eminem mentions dr. dre in his song guilty conscience , in which dee barnes occurs .	1
kiss country plays a mix of modern and older country music , with greater emphasis on current artists .	kiss country plays a mix of modern and older country music , with more emphasis on current artists .	1
in any case , the output is often equalized and sent to the load , and the output capacitors are then included to filter the switching noise .	in any case , the output is often rectified and sent to the load . capacitors are then included at the output to filter the switching noise .	1
simpson is also part of the municipality of simpson and ashland , which now includes ashland and west ashland .	simpson is now part of the civil parish of simpson and ashland , which also includes ashland and west ashland .	1
born in retford , nottinghamshire , as a boy he moved south to the wiseton estate , near gosforth , northumberland when his father found work there .	born in retford , nottinghamshire , he moved as a boy to wiseton estate , near gosforth , northumberland , when his father found jobs there .	1
in august 2017 , hardy joined sky sports as an analyst for floyd mayweather vs. conor mcgregor .	hardy came to sky sports in august 2017 as an analyst for floyd mayweather vs. conor mcgregor .	1
he has been a liberal member of the victorian legislative council since october 1992 , representing eastern metropolitan region from 1992 to 2006 and koonung province since .	since october 1992 , he has been a liberal member of the victorian legislative council , representing the eastern metropolitan region from 1992 to 2006 , and since then the province of koonung .	1
the song was produced by calvo da gr8 and wrote by the writing camp .	the song was produced by calvo da gr8 and written by the writing camp .	1
the 1990 pba season was the 16th season of the philippine basketball association ( pba ) .	the season 1990 pba was the 16th season of the philippine basketball association ( pba ) .	1
with 10 goals , ishmael miller was top scorer in all competitions , followed by james hayter with 8 goals .	nottingham forest loanee ishmael miller was top scorer in all competitions with 10 goals , followed by james hayter with 8 goals .	1
trina , better known as taylor katrina laverne , is a rapper .	trina , better known as katrina laverne taylor , is a rapper .	1
""" bonne citoyenne "" had the misfortune to be damaged in a storm and to become separated from the rest of the french squadron ."	""" bonne citoyenne "" had the misfortune to be damaged in a storm and separated from the rest of the french squadron ."	1
fontaine charles-péguy , square charles péguy , rue montempoivre 1989 , alain gilot , architect , and liliane grunig tribel , landscape architect .	fontaine charles - péguy , square charles péguy , rue montempoivre 1989 , architect alain gilot , and liliane grunig tribel , landscape architect .	1
although neither chandidas nor maladhar basu were vaishnavas , they were to lay the foundation for much of the following vaishnava poetry in bengal .	although neither maladhar basu nor chandidas were vaishnavas , they should lay the foundation for much of the following vaishnava poetry in bengal .	1
""" the evolution of dance "" is the ninth interlude and the second track on the album ."	""" the evolution of dance "" is the ninth interplay and the second track on the album ."	1
they came to russia from poland in the eighteenth century , and their language includes russian , german and polish words .	they came to russia in the 18th century from poland , and their language includes russian , german , and polish words .	1
aditya is carried to a tiny island where he helps the magical locals defeat the giant jhamunda .	aditya is worn on a tiny island where he helps the magical locals to defeat the giant jhamunda .	1
while octreotide has reduced the terminal threonin to the corresponding amino alcohol .	while octreotide has the terminal threonine reduced to the corresponding amino alcohol .	1
the chinese ambassador in apia is the official representative of the government in beijing to the government of samoa .	the chinese ambassador to apia is the official representative of the government in beijing with the samoa government .	1
he arrived in the summer of 2013 together with his teammate haris hajradinović from croatian club as trenčín to nk inter zaprešić .	he came to nk inter zaprešić in summer 2013 together with his teammate haris hajradinović from croatian club , as trenčín .	1
his three sisters included mary caroline bulkeley , who married roland redmond , helen c. bulkeley .	his three sisters included mary caroline bulkeley , who married roland redmond , helen c. bulkeley ( b .	1
it was written by leslie h. martinson , directed by george kirgo and was originally sent on nbc on 5 april 1982 .	it was written by leslie h. martinson , directed by george kirgo and was originally broadcast april 5 , 1982 on nbc .	1
the 1990 philadelphia wings season marked the team 's second season of operation and fourth league championship .	the 1990 philadelphia wings season marked the second season of the team operation and fourth championship .	1
this balance was inserted into the accumulator when the card was read into the car .	this balance was inserted into the accumulator when the card was read into the carriage .	1
it was printed in 1985 by kids can press and published by everbest in hong kong .	it was printed in 1985 by kids can press and published in hong kong by everbest .	1
originally sponsored by the now deceased mystic district planning coalition , the dc pno is currently sponsored by the open hearth foundation .	originally sponsored by the now defunct mystic district planning coalition , the dc area pno is currently sponsored by the open hearth foundation .	1
scott was born in chester county , pennsylvania , and was buried in parkesburg , pennsylvania .	scott was born in chester county , pennsylvania , and was buried in pennsylvania , parkesburg .	1
"in australia , "" the other man 's grass is always greener "" reached # 30 while in south africa the track achieved a # 19 chart peak ."	"achieved in australia "" the other man 's grass is always greener in place , while in south africa the track reached a chart peak of 19 ."	1
the turks , tibetans , muslim arabs and the tang competed for control over central asia until the collapse of the tang in the 10th century .	the turks , tibetans , muslim arabs , and the tang competed for control of central asia until the tang ' s collapse in the 10th century .	1
after passing through bryson city and flowing around the bryson city island park , the tuckasegee flows southwestward for another before emptying into the little tennessee river .	after passing through bryson city and the bryson city island park , the tuckasegee flows southwest for another before flowing into the little tennessee river .	1
it was built in 1988 by jim bell and william feldstein and has been developed by h & amp ; h .	it was built in 1988 by jim bell and william feldstein and developed by h & h .	1
if tomin is told by a prior to kill them , he refuses , and mitchell kills the prior , whose powers were blocked by the anti-prior device .	when tomin is ordered by a prior to kill them , he refuses , and mitchell kills the prior , whose powers were being blocked by the anti-prior device .	1
the casimcea river is a tributary of the river valea lungă in romania .	the casimcea river is a tributary of the valea lungă river in romania .	1
faiyaz ali khan was to sir muhammad faiz ali khan in 1851 .	faiyaz ali khan was born in 1851 to sir muhammad faiz ali khan .	1
the fortress was besieged again from 22 december 1813 until 14 april 1814 by french troops under the command of general zoller before the bavarian garrison surrendered .	from 22 december 1813 to 14 april 1814 , the fortress was once again besieged by french troops under the command of general zoller , before the bavarian garrison capitulated .	1
this is also a shearing effect : when the focal length is smaller , the shearing effect is greater .	this is also a shearing effect : when the focal length is smaller , the shearing effect is larger .	1
the polychrome mosaics of the villa are geometric designs , stylistically close to north african mosaics , and damaged areas indicate that figures were also included .	the polychrome mosaics of the villa are geometric designs , stylistically close to north african mosaics , and damaged areas suggest figures were also included .	1
july 2013 to be announced .	announced to be created july 2013 .	1
""" the remarkable rocket "" is a parody of aristocratic vanity and masculine conceit ."	""" the remarkable rocket "" is a parody of aristocratic vanity and masculine image ."	1
he was married twice , to annie kowalkowski and to elizabeth dettlaff , and had three daughters .	he was twice married to annie kowalkowski and elizabeth dettlaff , and had three daughters .	1
in most countries , a different organisation , a scout group , combines local sections into a single body .	in most countries a different organisation , a scout group , combines local sections together into a single body .	1
in 2015 it was renamed philharmonie 2 as part of the philharmonie de paris when a larger symphony hall was built by jean nouvel and named philharmonie 1 .	in 2015 it was renamed philharmonie 2 as part of the philharmonie de paris , when a larger symphony hall was built by jean nouvel and philharmonic 1 was named .	1
gatting 's brother is the former england cricketer joe gatting , and his son mike gatting is currently a cricketer for hampshire .	the brother of gatting is former english cricketer joe gatting , and his son mike gatting is currently a cricketer for hampshire .	1
it is bounded by caoayan and the municipalities vigan city , san vicente , santa catalina and sto .	it is bounded by caoayan and the municipalities of vigan city , san vicente , santa catalina and sto .	1
"on all tracks , except teddy gentry on "" clear water blues "" and randy owen on "" this love ' ; s on me "" , are lead lead vocals by jeff cook ."	"lead vocals by jeff cook on all tracks , except teddy gentry on "" clear water blues "" and randy owen on "" this love 's on me "" ."	1
the flushing line was opened from 40th street to queensboro plaza -- corona plaza on april 21 , 1917 , with a local station at 103rd street .	the flushing line was opened on 21 april 1917 from 40th street to queensboro plaza -- corona plaza , with a local station on 103rd street .	1
his current research explores the impact of jewish ideas and stories on islamic sources .	his current research explores the influence of jewish ideas and stories on islamic sources .	1
