sentence1	sentence2	label
Originally called Columbia Road became this Trail Ridge Road .	Originally called Columbia Road this trail became Ridge Road .	0
WORHP , also referred to as eNLP ( European NLP Solver ) , is a mathematical software library for numerically solving continuous , nonlinear optimization problems on a large scale .	WORHP , also referred to as eNLP ( European NLP solver ) by ESA , is a mathematical software library for solving continuous large scale nonlinear optimization problems numerically .	1
His father , Gerry , his uncle , Tommy , and his brother , Jimmy Doyle , also enjoyed All-Ireland success with Tipperary .	His father , Gerry , his uncle , Jimmy Doyle , and his brother , Tommy , enjoyed also with Tipperary All - Ireland - success .	0
This is a list of national parks in British Columbia , including urban and regional parks , provincial parks , municipal and regional parks .	This is a list of national parks in British Columbia including municipal and regional parks , provincial parks , municipal and regional parks .	1
Glauco Sansovini is together with Marco Conti captain Regent of San Marino for the semester from 1 April 2010 to 1 October 2010 .	Marco Conti is Captain Regent of San Marino together with Glauco Sansovini for the semester from 1 April 2010 to 1 October 2010 .	0
Following his defeat in Cardiganshire , Henry Richard was elected Liberal Member of Parliament for the Merthyr Parliament of Wales in 1868 .	Following his defeat in Wales , Henry Richard was elected as Liberal Member of the Merthyr Parliament in 1868 , districts in Cardiganshire .	0
He was born in Toledo , Ohio , grew up in Minneapolis , Minnesota , and attended the High School for Reception Arts in St. Paul , Minnesota .	He was born in Toledo , Ohio , grew up in St. Paul , Minnesota , and visited the High School for Recording Arts in Minneapolis , Minnesota .	0
The new negative is tested and printed again .	The new negative is printed and again is tested .	0
North Tripura district is in the Lok Sabha constituency of South Tripura , which is shared with Dhalai and Tripura East districts .	North Tripura District is shared in the Lok Sabha constituency of Tripura East , which is shared with Dhalai and South Tripura districts .	0
Euthria amorimi is a sea snail species , a true gastropod mollusk in the Buccinidae family , the whelks marine .	Euthria amorimi is a species of sea snail , a true gastropod mollusk in the family Buccinidae , the marine whelks .	1
The gray suit was largely replaced by the dark blue or black suit in the 20th century .	The black suit was largely replaced in the 20th century by the dark blue or grey suit .	0
In 2002 , Richard Branson opened with Sir Elissa Kuwait 's Virgin Megastore .	In 2002 Elissa inaugurated Kuwait 's Virgin Megastore with Sir Richard Branson .	0
Sharifah Aini was born on 2 July 1953 at Hospital Sultanah Aminah , Johor Bahru , Johor , and grew up in the Kampung Melayu Majidee , Johor Bahru .	Sharifah Aini was born on July 2 , 1953 in Kampung Melayu Majidee , Johor Bahru , and grew up in Johor Bahru , Johor Bahru , Sultanah Aminah Hospital .	0
They measure not only population numbers , but also demographic parameters . This combination technique consists of camera traps and sufficient tiger search to collect base data .	They not only measure population numbers , but also measure demographic parameters This combination technique consists of camera traps and basic tiger search to collect sufficient data .	0
For nearly six weeks , 10 TFS crews attacked Iraqi airfields , communication centers , and military command centers .	For nearly six weeks , 10th TFS crews attacked Iraqi airfields , communication centers and military command centers .	1
The small institutions that they founded would not have found them like universities -- they were tiny and did not offer higher degrees in medicine and theology .	The tiny institutions they founded would not have appeared to them like universities -- they were small and did not offer the higher qualifications in medicine and theology .	1
Sandra Miesel and Carl Olson state that , contrary to the book 's claims , the Gnostic Gospels ( e.g .	Sandra Miesel and Carl Olson explain that , contrary to the book 's claims , the gnostic gospels ( e.g .	1
The Togian endemic-eye , another white bird species , was described in 2008 .	The Togian endemic-eye , another white species , was described in 2008 .	0
Humphrey John Ikin ( born in 1957 in New Zealand ) is a furniture designer by Lower Hutt .	Humphrey John Ikin ( born 1957 in New Zealand ) is a Lower Hutt furniture designer .	1
"None of these songs , with the exception of "" Live to Rise , "" are heard in the film ."	"None of these songs , with the exception of "" Rise to Live "" , is heard in the film ."	0
Only the sara of the South was governed effectively , the French presence in the Islamic North and East was nominal .	Only the Sara of the south was governed effectively ; nominal presence in the French north and east was Islamic .	0
It was the first single released by the group and their third release on Silvertone Records .	It was the first single released by the group and it was their third release on Silvertone Records .	1
For large data , small factors can not be ignored , but an asymptotically linear or square algorithm can be more efficient for inefficient data .	For large data linear or quadratic factors can not be ignored , but for small data an asymptotically inefficient algorithm may be more efficient .	0
On 28 January 2015 , John Carver was brought into Watson 's backroom team at Newcastle United for the remaining 16 games of the 2014/15 season .	On January 28 , 2015 , Watson was brought into the backroom team of John Carver at Newcastle United for the remaining 16 games of the 2014-15 season .	0
He began his studies in Budapest in 1946 at the Main Gimnázium , and from 1947 to 1951 he visited the Madách Gimnázium in Debrecen .	He began his studies in 1946 at the Main Reformed Gimnázium in Debrecen , and from 1947 to 1951 , he attended the Madách Gimnázium in Budapest .	0
Red Sulphur Sky is a solo album by American jazz trumpeter Wadada Leo Smith , which was released in 2001 and recorded at Tzadik Records .	Red Sulphur Sky is a solo album by American jazz trumpeter Wadada Leo Smith , which was recorded in 2001 and published by Tzadik Records .	0
Some of the company documents were secured by Victor Jaques , the former secretary of Ina Jorgensen , who had fled abroad .	Some of the company documents were safeguarded by Victor Jaques , the former secretary of Ina Jorgensen , who had fled abroad .	1
The River Frasin is a tributary of the River Straja in Romania .	The Frasin River is a tributary of the Straja River in Romania .	1
Santa Ana Nopalucan is a municipality in Tlaxcala in south-eastern Mexico .	Santa Ana Nopalucan is a municipality in Mexico , in the south-eastern Tlaxcala .	0
This introduction to travel began a lifelong passion that led her to study in the remote areas of Alaska and British Columbia .	This introduction to the journey began with a lifelong passion that led her to study in the remote areas of Alaska and British Columbia .	1
Most Arabs in France come from the Maghreb , but some also come from the Mashreq areas of the Arab world .	Most Arabs in France are from the Maghreb but some also come from the Mashreq areas of the Arab world .	1
Eugene Luening ( sometimes Eugen Luening ) ( 1852 -- 1944 ) was a musician of German origin born in Milwaukee .	Eugene Luening ( sometimes Eugen Luening ) ( 1852 -- 1944 ) was a Milwaukee born musician of German descent .	1
He was born in San Francisco , California , and died at the age of 81 in Brooklyn , NY .	Born in Brooklyn , New York , he died at the age of 81 in San Francisco , California .	0
Chittoor district , is a district in Rayalaseema region of the Indian state of Andhra Pradesh .	Chittoor District , is a district of Andhra Pradesh region of the Indian state of Rayalaseema .	0
The hand attacks her and she is forced to kill it , which also kills the sale .	The hand attacks them and is forced to kill it , which also kills the sale .	1
Romney refused in September 1970 , and Mitchell Plan collapsed .	In September 1970 , Mitchell refused and Romney 's plan collapsed .	0
Sumner Slichter was the brother of the geophysicist Louis B. Slichter , father of physicist Charles Pence Slichter , and the grandfather of the musician Jacob Slichter .	Jacob Slichter was the brother of geophysicist Charles Pence Slichter , father of physicist Louis B. Slichter , and the grandfather of musician Sumner Slichter .	0
""" It was a fast race , and I had such a crazy penn zoil Ford "" , said Logano ."	""" It was a crazy race , and I had such a fast Pennzoil Ford , "" said Logano ."	0
The mentioned scientists Adam adores are : Pythagoras , Galileo Galilei , Nicolaus Copernicus , Isaac Newton , Nikola Tesla , Charles Darwin , and Albert Einstein	The scientists mentioned , whom Adam reveres , are : Pythagoras , Galileo Galilei , Nicolaus Copernicus , Albert Einstein , Nikola Tesla , Charles Darwin and Isaac Newton .	1
"Isaac was "" an hundred years old "" , when his son whom he named Abraham was born , and he circumcised him when he was eight days old ."	"Abraham was "" hundred years old , when his son was born , whom he called Isaac , and he circumcised him when he was eight days old ."	0
The radical party of the people ( Narodna radikalna stranka ) was founded as a radical party in 1881 , but from 1919 it developed into a conservative direction .	The radical party of the people ( Narodna radikalna stranka ) was founded as a conservative party in 1881 , but it developed into a radical direction from 1919 .	0
The remaining three Pokolgép members , Tarcza , Pazdera and Kukovecz started to look for a new singer and second guitarist .	The remaining three Pokolgép members , Tarcza , Pazdera and Kukovecz , started to search for a new singer and second guitarist .	1
The main plains of the prefecture is plain of Pozar in the north and the vast plain of Giannitsà in the southeastern part of the county .	The main level of the prefecture is the plain of Pozar in the north and the vast plain of Giannitsà in the southeastern part of the county .	1
Dyson died on board a ship when he was travelling from Australia to England in 1939 and buried at sea .	Dyson died on board a ship while travelling from England to Australia in 1939 and was buried at sea .	0
He moved to New France in 1685 and lived for some time in Quebec .	He moved to Quebec around 1685 and lived in New France for some time .	0
Their recording of the song was produced and arranged by Richard Carpenter and performed by Ray Gerhardt .	Their recording of the song was produced and arranged by Ray Gerhardt , and engineered by Richard Carpenter .	0
Elwood Cohn was born on March 3 , 1922 in San Jose , Costa Rica , to Montealegre Clemencia Carazo and Felicia Cohn Montealegre .	Felicia Cohn Montealegre was born on 3rd March 1922 in San Jose , Costa Rica to Clemencia Montealegre Carazo and Roy Elwood Cohn .	0
Finally in 2002 the name of Mersin was replaced with that of İçel .	In 2002 , the name of İçel was finally replaced by that of Mersin .	0
George George Harrison regarded Mukunda and the others who came to England first to be his lifelong friends .	Mukunda considered George Harrison and the others who first came to England to be his lifelong friends .	0
In 1989 , London joined the Peace Corps in Malawi and organized a regional program for business development in Africa .	In 1989 , London joined the Peace Corps in Africa and organized a regional business development program in Malawi .	0
Forty different plant communities were identified in the gorge , containing at least 1,342 species and 54 rare plants .	Forty rare plant communities containing at least 1,342 species and 54 different plants have been identified in the gorge .	0
He died on 23 April 1881 in Newtown ( today Elmhurst Station ) , Flushing , Long Island , New York .	He died on April 23 , 1881 in Long Island , New York ( today Elmhurst Station ) , Flushing , Newtown .	0
It travels a distance of 112 km from Araku to Vizag .	It travels for a distance of 112 km from Vizag to Araku .	0
But instead of returning to heaven , Annie decided to join Chris in hell forever .	But instead of returning to Heaven , Annie chooses to join Chris forever in Hell .	1
""" Note : not all of the above details are verifiable in available sources , but the primary outline is in Messenger . """	""" Note : Not all of the above details are verifiable in available sources , but the primary structure is in Messenger ."	1
Formal education in Sheffield , a city in England , takes place at two universities in the city , at 141 primary and 28 secondary schools .	Formal education in England , a city in Sheffield , takes place at the city 's two universities , at 141 primary schools and 28 secondary schools .	0
