source,reference,prediction,bleu_vs_reference,rougeL_f1_vs_reference,lexical_diversity_vs_source,inverse_bleu_vs_source,length_ratio_vs_reference,semantic_similarity_vs_source
Thiago is the father of current players Mazinho by Inter Milan and Rafinha of Bayern Munich,Thiago is the father of current players Mazinho of Inter Milan and Rafinha of Bayern Munich,Thiago is the father of current players Mazinho for Inter Milan and Rafinha for Bayern Munich,0.6413865258981679,0.875,0.125,0.3586134741018321,1.0,0.9940961003303528
""" Sidewalk "" magazine helped to create the careers of characters such as Olly Todd  John Rattray  Stuart Graham  Benny Fairfax  Brian Sumner and more",""" Sidewalk "" Magazine has helped spawn the careers of characters such as Brian Sumner  Benny Fairfax  Olly Todd  John Rattray  Stuart Graham and more",""" Sidewalk "" Magazine played a role in establishing the careers of figures like Brian Sumner  Benny Fairfax  Olly Todd  John Rattray  Stuart Graham and others",0.5339293213731362,0.6808510638297872,0.46875,0.63967878188429,1.04,0.9630279541015625
The winning Mike McEwen team represented Ottawa at the 2016 Tim Hortons Brier in Manitoba,The winning team from Mike McEwen represented Ottawa in the Tim Hortons Brier 2016 in Manitoba,"The victorious team from Mike McEwen participated in the Tim Hortons Brier 2016 event held in Manitoba, Canada.",0.4208598069524091,0.7647058823529411,0.5714285714285714,0.9200539250052798,1.125,0.868127167224884
It was owned locally by Walter Stiles ' Albert M. Cadwell,It was locally owned by Walter Stiles & Albert M. Cadwell,It was locally owned by Walter Stiles and Albert M. Cadwell,0.7016879391277372,0.9523809523809523,0.16666666666666663,0.8114968097725265,1.0,0.9881029725074768
Susannah Louisa Barnett married Lorenzo Giuntini on 11 September 1866 in Frome  Somerset and had 8 children,Louisa Barnett married Lorenzo Giuntini in Frome  Somerset on 11 September 1866 and got 8 children,"Susannah Louisa Barnett wedded Lorenzo Giuntini on 11 September 1866 in Frome, Somerset, and bore eight offspring.",0.2045516326940124,0.5454545454545455,0.5217391304347826,0.5614931027252896,1.0625,0.9133704304695129
Wiliam Way was born in the Diocese of Exeter about c. 1560  Bishop Richard Challoner said he was born in Cornwall  and earlier authorities say in Devonshire,Around 1560  Wiliam Way was born in the Diocese of Exeter  bishop Richard Challoner said he was born in Cornwall  and former authorities say in Devonshire,"William Way was born in the Diocese of Exeter around 1560. Bishop Richard Challoner stated that he was born in Cornwall, while earlier records indicate it was in Devonshire.",0.37284875432797243,0.6545454545454545,0.6176470588235294,0.6271512456720276,1.1153846153846154,0.845417320728302
In 1948 he moved to Cyprus  to England in 1958,In 1948 he moved to Cyprus  in 1958 to England,"In 1948, he relocated to Cyprus; subsequently, in 1958, he migrated to England.",0.023233421968350106,0.7826086956521738,0.8,0.9767665780316499,1.3,0.9558435678482056
It was produced by Cameron Crain  Richard Shelgren and Kamala Lopez and directed by Kamala Lopez,Kamala Lopez directed and produced by Cameron Crain  Richard Shelgren and Kamala Lopez,Cameron Crain  Richard Shelgren and Kamala Lopez produced it while Kamala Lopez directed it,0.5445178846139404,0.5185185185185186,0.23076923076923073,0.5542165696961137,1.0769230769230769,0.9306535720825195
Both traced the continuing influence on literary and cultural studies of the kinds of cultural materialism developed by Williams and his successors,Both highlighted the continuing influence of the forms of cultural materialism developed by Williams and his successors on literary and cultural studies,Both explored how the ideas from Williams and his followers continue to affect literary and cultural studies.,0.076668024445837,0.46153846153846156,0.7407407407407407,0.923331975554163,0.7727272727272727,0.7764190435409546
Ricardo Lingan Baccay was ordained priest by Diosdado Aenlle Talamayan on April 10  1987,Ricardo Lingan Baccay was ordained a priest on April 10  1987 by Diosdado Aenlle Talamayan,"Ricardo Lingan Baccay was ordained a priest by Diosdado Aenlle Talamayan on April 10, 1987",0.6218892458282913,0.7333333333333333,0.1875,0.3393671363972386,1.0,0.9966456890106201
Alice Josephine McLellan was born in Marietta  Georgia  as the daughter of Leander and Harriet Tatem McLellan,Alice Josephine McLellan was born in Marietta  Georgia  the daughter of Leander and Harriet Tatem McLellan,"Alice Josephine McLellan was born in Marietta, Georgia, as the daughter of Leander and Harriet Tatem McLellan",0.6964705665515707,0.9696969696969697,0.2222222222222222,0.23753414137651396,1.0625,0.9968553781509399
Pat takes Roy on a tour of Paris and they visit the below landmarks,Pat takes Roy on a tour of Paris and they visit the landmarks below,"Pat leads Roy through Paris, stopping at these landmarks",0.018107569251105026,0.34782608695652173,0.85,0.981892430748895,0.6428571428571429,0.8094012141227722
Basque folk music Bambuco has Colombian roots,Bambuco  a Basque folk music  has Colombian roots,"Bambuco, a Basque folk tune, originates from Colombia",0.1374708101760565,0.5,0.8461538461538461,0.9412605090530078,1.0,0.8785768151283264
John John Magufuli won the presidential election in October 2015 and secured a two-thirds majority in parliament  the other party or main party in Tanzania is called Chadema,John Magufuli won the October 2015 presidential election and secured a two-thirds majority in parliament  The other party or main party in Tanzania is called Chadema,John Magufuli won the presidential election in October 2015 and obtained a two-thirds parliamentary majority. The opposition party is known as Chadema.,0.1491932244098666,0.6,0.5333333333333333,0.6439430405487631,0.8461538461538461,0.875434398651123
The 1954 -- 55 NBA season was the ninth season of the National Basketball Association,The season 1954 -- 55 National Basketball Association was the ninth NBA season,The 1954 -- 55 NBA campaign marked the ninth year of the National Basketball Association,0.13217947626377288,0.4615384615384615,0.33333333333333337,0.4696375403904446,1.1538461538461537,0.8667590618133545
The Piatra Caprei River is a tributary of the Sâmbăta River in Romania,The River Piatra Caprei is a tributary of the Sâmbăta river in Romania,The Piatra Caprei River flows into the Sâmbăta River in Romania,0.35825892017892974,0.7142857142857142,0.46153846153846156,0.5099797543837672,0.8461538461538461,0.955483615398407
The team was formed as the Atlantic Coast Hockey League and played its first season in October 2002 with the Orlando Seals ( ACHL,The team was formed as the Atlantic Coast Hockey League and played its first season beginning in October 2002 with the Orlando Seals ( ACHL,The team emerged as the Atlantic Coast Hockey League and commenced its inaugural campaign in October 2002 under the Orlando Seals banner (ACHL),0.3577280419676535,0.723404255319149,0.5172413793103448,0.626375493681375,0.92,0.9047000408172607
Major competitors of VISA Steel include ArcelorMittal  Essar Steel  Jindal Steel and Power  Tata Steel  SAIL and JSW Steel,VISA Steel 's major competitors include ArcelorMittal  Essar Steel  Jindal Steel and Power  Tata Steel  SAIL and JSW Steel,"Major competitors of VISA Steel include ArcelorMittal, Essar Steel, Jindal Steel and Power, Tata Steel, SAIL, and JSW Steel",0.11379741506396635,0.8421052631578947,0.38888888888888884,0.6048499783839458,1.0,0.9898065328598022
Rashad Evans then replaced Rua with Liddell in the main event  but Liddell was forced to withdraw from the card due to a thigh injury,Rashad Evans then replaced Rua in the main event with Liddell  but Liddell was forced to withdraw from the card due to a hamstring injury,"Rashad Evans succeeded Rua with Liddell for the main event, but Liddell had to pull out of the card because of a thigh injury.",0.038325468495128065,0.5306122448979592,0.6129032258064516,0.9244793616601485,0.96,0.9244420528411865
He has also played for the Pittsburgh Steelers and was part of the Super Bowl XLV winning team over the Green Bay Packers,He has also played for the Pittsburgh Steelers and was part of the Super Bowl XLV winning team at the Green Bay Packers,He has also played for the Pittsburgh Steelers and was part of the Super Bowl XLV championship team against the Green Bay Packers,0.794483720649497,0.9130434782608695,0.17391304347826086,0.20551627935050298,1.0,0.9906183481216431
Johnson has worked in laboratories in Sydney  Townsville Queensland  Melbourne  and Boston USA in molecular genetic animal research,Johnson has worked in animal molecular genetics in laboratories in Melbourne  Townsville Queensland  Sydney and Boston USA,"Johnson has labored in laboratories in Sydney  Townsville, Queensland  Melbourne, and Boston, USA in molecular genetic animal research",0.08367437134595068,0.5714285714285715,0.4,0.5495337277016659,1.0588235294117647,0.9459046721458435
Its subtropical or tropical moist habitats are natural forests and plantations,Its subtropical or tropical moist habitats are natural lowland forests and plantations,Its subtropical or tropical moist habitats include natural forests and plantations,0.5509785767132417,0.8695652173913043,0.16666666666666663,0.2983120608722628,0.9166666666666666,0.9828972816467285
Looe Bay Holiday Park  a large holiday park and campsite  is located at the Great Tree,Looe Bay Holiday Park  a large holiday park and campsite  is located at Great Tree,"Looe Bay Holiday Park, a large holiday park and campsite, is situated at the Great Tree.",0.3315796151992083,0.9032258064516129,0.38888888888888884,0.6149677113121287,1.0666666666666667,0.9857176542282104
"Ahmet Kaya was accused of plagiarizing the melody of "" Million Years Ago "" from singer Adele 's 1985 song "" Acilara Tutunmak ""","Ahmet Kaya was accused of plagiarizing the melody of "" Million Years Ago "" from the song "" Acilara Tutunmak "" by singer Adele in 1985","Ahmet Kaya faced accusations of stealing the melody from Adele's 1985 hit ""Acilara Tutunmak""",0.02085058604096796,0.4864864864864865,0.7407407407407407,0.9759474938200908,0.5384615384615384,0.8540595769882202
He was drafted by the Chicago Cardinals and also played for the Washington Redskins and the Philadelphia Eagles,He was drafted by the Chicago Cardinals and played for the Philadelphia Eagles and Washington Redskins,He was signed by the Chicago Cardinals and also played for the Washington Redskins and the Philadelphia Eagles,0.378041647994976,0.7058823529411765,0.125,0.14210719073185651,1.125,0.9271920323371887
Several publications published by the Public Health Service have shown that veterans have increased rates of cancer  and nerve  respiratory  skin  and digestive disorders,Several publications of the Public Health Service have shown that veterans have increased cancer  nerve  respiratory  skin and digestive disorders,"Publications from the Public Health Service reveal higher cancer, nerve, respiratory, skin, and digestive disorder rates among veterans.",0.14869929081646313,0.631578947368421,0.75,0.8768889602694144,0.9,0.9603958129882812
"He invented "" A new geometrical method of measuring the human figure "" ( 1860   and wrote and patented various improvements in boats and weapons","He invented "" A New Geometrical Method of Measuring the Human Figure "" ( 1860   and wrote and patented various improvements in boats and guns",He devised a novel geometric technique for measuring the human form (1860) and developed several innovations in ships and weaponry patents,0.04775165059349684,0.46511627906976744,0.8,0.9522483494065032,0.84,0.8999156951904297
The magazine was based in London  but was released by Gerald Duckworth and Company in Paris,The magazine was based in London but was published in Paris by Gerald Duckworth and Company,The magazine was headquartered in London but published by Gerald Duckworth and Company in Paris,0.414289281670139,0.7741935483870969,0.25,0.4598847903632203,0.9375,0.9597444534301758
Giuseppe Anatrelli ( 3 January 1925 - 29 November 1981   also known as Geppino Anatrelli  was an Italian film  stage and television actor,Giuseppe Anatrelli ( January 3  1925-November 29  1981   also known as Geppino Anatrelli  was an Italian film  stage and television actor,"Giuseppe Anatrelli (born 3 January 1925 - died 29 November 1981) was an Italian film, stage, and television actor",0.09386079106302285,0.717948717948718,0.4814814814814815,0.7801996071288357,0.9047619047619048,0.920978844165802
Emma V. Lee married Robert Kelley in 1893,In 1893  Emma V. Lee Robert Kelley married,Emma V. Lee wedded Robert Kelley in 1893,0.20205155046766235,0.625,0.2222222222222222,0.5,1.0,0.9383232593536377
Different colors have different differences in the light emissions of other usable particles,Different colors have different differences in the light emission of other usable particles,Different hues exhibit varying luminous outputs with other viable substances.,0.01859351593152887,0.17391304347826086,0.9,0.9814064840684711,0.7692307692307693,0.6887555122375488
