Q1,Q2,Prediction,Confidence,Prob_Dup
What are the Sanskrit words for 'war' and bars?,Do translation of the Sanskrit word for war?,NOT DUPLICATE,83.3%,16.7%
How would the dialogue in a debate between Donald Trump and by Bernie Sanders sound like?,What would a presidential debate between Donald Trump attracted Bernie Sanders be like?,DUPLICATE,93.7%,93.7%
Why do people like b me?,Do friends stay loyal to us because of who we are to them or is it more their character and they tend to treat people?,NOT DUPLICATE,99.3%,0.7%
What is your I monetize my app users?,I have lost can I monetize my app?,DUPLICATE,53.1%,53.1%
How can I improve foreign language listening comprehension skills?,How can I improve my listening skill when learn a 5c/5 language.?,DUPLICATE,89.5%,89.5%
What are nepal best nerf blasters for Humans vs Zombies?,Are Zombies faster things humans?,NOT DUPLICATE,88.1%,11.9%
How were the about Donald Trump?,Why 25000inr you think Donald Trump is bad for the LGBT people?,NOT DUPLICATE,58.5%,41.5%
"I like this girl, and I won't mind waiting a lifetime for her. How can I tell I like her without ruining our friendship?",How should I tell her that I like her without ruining relationship?,NOT DUPLICATE,50.1%,49.9%
Can an H4 visa still be valid for a child of H1 visa holder if the child exceedes 21 years of age?,What my H4 visa expire when I turn 21? or when I complete 21 years of age?,DUPLICATE,54.5%,54.5%
What are say English slang words for beliefs?,What are some English straight slang words for mistakes?,NOT DUPLICATE,98.0%,2.0%
Where are some great glyphs to live in the Los Angeles area?,What is your cost favorite area to live in Los Angeles and why?,NOT DUPLICATE,57.3%,42.7%
Why new 2000 Rupees notes are launching and usc not new 1000 Rupees?,Is 500 and 2000 rupee notes being introduced?,DUPLICATE,94.2%,94.2%
How can I get budget hotel list in Puri to visit this New Year Eve?,How can I get budget hotel list in Hyderabad to visit this New Year Eve?,NOT DUPLICATE,87.7%,12.3%
"Computer Architecture: What is one L1, L2, L3 cache of a microprocessor, and how does it affect the performance of it?",Can you get examples of C code that really bring out the effects of L1 and L2 cache on throughput?,NOT DUPLICATE,97.2%,2.8%
Why does my ADT alarm keep beeping?,Where can I buy fire alarms?,NOT DUPLICATE,98.9%,1.1%
