sentence1	sentence2	label
originally called columbia road became this trail ridge road .	originally called columbia road this trail became ridge road .	0
worhp , also referred to as enlp ( european nlp solver ) , is a mathematical software library for numerically solving continuous , nonlinear optimization problems on a large scale .	worhp , also referred to as enlp ( european nlp solver ) by esa , is a mathematical software library for solving continuous large scale nonlinear optimization problems numerically .	1
his father , gerry , his uncle , tommy , and his brother , jimmy doyle , also enjoyed all-ireland success with tipperary .	his father , gerry , his uncle , jimmy doyle , and his brother , tommy , enjoyed also with tipperary all - ireland - success .	0
this is a list of national parks in british columbia , including urban and regional parks , provincial parks , municipal and regional parks .	this is a list of national parks in british columbia including municipal and regional parks , provincial parks , municipal and regional parks .	1
glauco sansovini is together with marco conti captain regent of san marino for the semester from 1 april 2010 to 1 october 2010 .	marco conti is captain regent of san marino together with glauco sansovini for the semester from 1 april 2010 to 1 october 2010 .	0
following his defeat in cardiganshire , henry richard was elected liberal member of parliament for the merthyr parliament of wales in 1868 .	following his defeat in wales , henry richard was elected as liberal member of the merthyr parliament in 1868 , districts in cardiganshire .	0
he was born in toledo , ohio , grew up in minneapolis , minnesota , and attended the high school for reception arts in st. paul , minnesota .	he was born in toledo , ohio , grew up in st. paul , minnesota , and visited the high school for recording arts in minneapolis , minnesota .	0
the new negative is tested and printed again .	the new negative is printed and again is tested .	0
north tripura district is in the lok sabha constituency of south tripura , which is shared with dhalai and tripura east districts .	north tripura district is shared in the lok sabha constituency of tripura east , which is shared with dhalai and south tripura districts .	0
euthria amorimi is a sea snail species , a true gastropod mollusk in the buccinidae family , the whelks marine .	euthria amorimi is a species of sea snail , a true gastropod mollusk in the family buccinidae , the marine whelks .	1
the gray suit was largely replaced by the dark blue or black suit in the 20th century .	the black suit was largely replaced in the 20th century by the dark blue or grey suit .	0
in 2002 , richard branson opened with sir elissa kuwait 's virgin megastore .	in 2002 elissa inaugurated kuwait 's virgin megastore with sir richard branson .	0
sharifah aini was born on 2 july 1953 at hospital sultanah aminah , johor bahru , johor , and grew up in the kampung melayu majidee , johor bahru .	sharifah aini was born on july 2 , 1953 in kampung melayu majidee , johor bahru , and grew up in johor bahru , johor bahru , sultanah aminah hospital .	0
they measure not only population numbers , but also demographic parameters . this combination technique consists of camera traps and sufficient tiger search to collect base data .	they not only measure population numbers , but also measure demographic parameters this combination technique consists of camera traps and basic tiger search to collect sufficient data .	0
for nearly six weeks , 10 tfs crews attacked iraqi airfields , communication centers , and military command centers .	for nearly six weeks , 10th tfs crews attacked iraqi airfields , communication centers and military command centers .	1
the small institutions that they founded would not have found them like universities -- they were tiny and did not offer higher degrees in medicine and theology .	the tiny institutions they founded would not have appeared to them like universities -- they were small and did not offer the higher qualifications in medicine and theology .	1
sandra miesel and carl olson state that , contrary to the book 's claims , the gnostic gospels ( e.g .	sandra miesel and carl olson explain that , contrary to the book 's claims , the gnostic gospels ( e.g .	1
the togian endemic-eye , another white bird species , was described in 2008 .	the togian endemic-eye , another white species , was described in 2008 .	0
humphrey john ikin ( born in 1957 in new zealand ) is a furniture designer by lower hutt .	humphrey john ikin ( born 1957 in new zealand ) is a lower hutt furniture designer .	1
"none of these songs , with the exception of "" live to rise , "" are heard in the film ."	"none of these songs , with the exception of "" rise to live "" , is heard in the film ."	0
only the sara of the south was governed effectively , the french presence in the islamic north and east was nominal .	only the sara of the south was governed effectively ; nominal presence in the french north and east was islamic .	0
it was the first single released by the group and their third release on silvertone records .	it was the first single released by the group and it was their third release on silvertone records .	1
for large data , small factors can not be ignored , but an asymptotically linear or square algorithm can be more efficient for inefficient data .	for large data linear or quadratic factors can not be ignored , but for small data an asymptotically inefficient algorithm may be more efficient .	0
on 28 january 2015 , john carver was brought into watson 's backroom team at newcastle united for the remaining 16 games of the 2014/15 season .	on january 28 , 2015 , watson was brought into the backroom team of john carver at newcastle united for the remaining 16 games of the 2014-15 season .	0
he began his studies in budapest in 1946 at the main gimnázium , and from 1947 to 1951 he visited the madách gimnázium in debrecen .	he began his studies in 1946 at the main reformed gimnázium in debrecen , and from 1947 to 1951 , he attended the madách gimnázium in budapest .	0
red sulphur sky is a solo album by american jazz trumpeter wadada leo smith , which was released in 2001 and recorded at tzadik records .	red sulphur sky is a solo album by american jazz trumpeter wadada leo smith , which was recorded in 2001 and published by tzadik records .	0
some of the company documents were secured by victor jaques , the former secretary of ina jorgensen , who had fled abroad .	some of the company documents were safeguarded by victor jaques , the former secretary of ina jorgensen , who had fled abroad .	1
the river frasin is a tributary of the river straja in romania .	the frasin river is a tributary of the straja river in romania .	1
santa ana nopalucan is a municipality in tlaxcala in south-eastern mexico .	santa ana nopalucan is a municipality in mexico , in the south-eastern tlaxcala .	0
this introduction to travel began a lifelong passion that led her to study in the remote areas of alaska and british columbia .	this introduction to the journey began with a lifelong passion that led her to study in the remote areas of alaska and british columbia .	1
most arabs in france come from the maghreb , but some also come from the mashreq areas of the arab world .	most arabs in france are from the maghreb but some also come from the mashreq areas of the arab world .	1
eugene luening ( sometimes eugen luening ) ( 1852 -- 1944 ) was a musician of german origin born in milwaukee .	eugene luening ( sometimes eugen luening ) ( 1852 -- 1944 ) was a milwaukee born musician of german descent .	1
he was born in san francisco , california , and died at the age of 81 in brooklyn , ny .	born in brooklyn , new york , he died at the age of 81 in san francisco , california .	0
chittoor district , is a district in rayalaseema region of the indian state of andhra pradesh .	chittoor district , is a district of andhra pradesh region of the indian state of rayalaseema .	0
the hand attacks her and she is forced to kill it , which also kills the sale .	the hand attacks them and is forced to kill it , which also kills the sale .	1
romney refused in september 1970 , and mitchell plan collapsed .	in september 1970 , mitchell refused and romney 's plan collapsed .	0
sumner slichter was the brother of the geophysicist louis b. slichter , father of physicist charles pence slichter , and the grandfather of the musician jacob slichter .	jacob slichter was the brother of geophysicist charles pence slichter , father of physicist louis b. slichter , and the grandfather of musician sumner slichter .	0
""" it was a fast race , and i had such a crazy penn zoil ford "" , said logano ."	""" it was a crazy race , and i had such a fast pennzoil ford , "" said logano ."	0
the mentioned scientists adam adores are : pythagoras , galileo galilei , nicolaus copernicus , isaac newton , nikola tesla , charles darwin , and albert einstein	the scientists mentioned , whom adam reveres , are : pythagoras , galileo galilei , nicolaus copernicus , albert einstein , nikola tesla , charles darwin and isaac newton .	1
"isaac was "" an hundred years old "" , when his son whom he named abraham was born , and he circumcised him when he was eight days old ."	"abraham was "" hundred years old , when his son was born , whom he called isaac , and he circumcised him when he was eight days old ."	0
the radical party of the people ( narodna radikalna stranka ) was founded as a radical party in 1881 , but from 1919 it developed into a conservative direction .	the radical party of the people ( narodna radikalna stranka ) was founded as a conservative party in 1881 , but it developed into a radical direction from 1919 .	0
the remaining three pokolgép members , tarcza , pazdera and kukovecz started to look for a new singer and second guitarist .	the remaining three pokolgép members , tarcza , pazdera and kukovecz , started to search for a new singer and second guitarist .	1
the main plains of the prefecture is plain of pozar in the north and the vast plain of giannitsà in the southeastern part of the county .	the main level of the prefecture is the plain of pozar in the north and the vast plain of giannitsà in the southeastern part of the county .	1
dyson died on board a ship when he was travelling from australia to england in 1939 and buried at sea .	dyson died on board a ship while travelling from england to australia in 1939 and was buried at sea .	0
he moved to new france in 1685 and lived for some time in quebec .	he moved to quebec around 1685 and lived in new france for some time .	0
their recording of the song was produced and arranged by richard carpenter and performed by ray gerhardt .	their recording of the song was produced and arranged by ray gerhardt , and engineered by richard carpenter .	0
elwood cohn was born on march 3 , 1922 in san jose , costa rica , to montealegre clemencia carazo and felicia cohn montealegre .	felicia cohn montealegre was born on 3rd march 1922 in san jose , costa rica to clemencia montealegre carazo and roy elwood cohn .	0
finally in 2002 the name of mersin was replaced with that of i̇çel .	in 2002 , the name of i̇çel was finally replaced by that of mersin .	0
george george harrison regarded mukunda and the others who came to england first to be his lifelong friends .	mukunda considered george harrison and the others who first came to england to be his lifelong friends .	0
in 1989 , london joined the peace corps in malawi and organized a regional program for business development in africa .	in 1989 , london joined the peace corps in africa and organized a regional business development program in malawi .	0
forty different plant communities were identified in the gorge , containing at least 1,342 species and 54 rare plants .	forty rare plant communities containing at least 1,342 species and 54 different plants have been identified in the gorge .	0
he died on 23 april 1881 in newtown ( today elmhurst station ) , flushing , long island , new york .	he died on april 23 , 1881 in long island , new york ( today elmhurst station ) , flushing , newtown .	0
it travels a distance of 112 km from araku to vizag .	it travels for a distance of 112 km from vizag to araku .	0
but instead of returning to heaven , annie decided to join chris in hell forever .	but instead of returning to heaven , annie chooses to join chris forever in hell .	1
""" note : not all of the above details are verifiable in available sources , but the primary outline is in messenger . """	""" note : not all of the above details are verifiable in available sources , but the primary structure is in messenger ."	1
formal education in sheffield , a city in england , takes place at two universities in the city , at 141 primary and 28 secondary schools .	formal education in england , a city in sheffield , takes place at the city 's two universities , at 141 primary schools and 28 secondary schools .	0
on 26 march 2012 , it was first successfully concluded by a 12-year-old american , tom schaar .	it was successfully completed first by a 12-year-old american , tom schaar , on march 26 , 2012 .	1
in vilnius they make up 13 % of the population , and 28 % in klaipėda .	they make up 13 % of the population in vilnius , 28 % in klaipėda .	1
for many problems it is more convenient to work with d and the total cost than with e and the free charge .	in case of many problems it is more convenient to work with d and the free charges than with e and the total charge .	0
from 1931 until the outbreak of world war ii in europe in 1939 , he worked in shanghai .	from 1931 to the outbreak of the second world war in shanghai in 1939 , he worked in europe .	0
established in 1788 , alberta shares the title of oldest european settlement in fort vermilion with fort chipewyan .	fort vermilion was established in 1788 and shares with fort chipewyan the title of the oldest european settlement in alberta .	0
eric midkiff replaced glenn jones in the band in 1996 and played guitar while hart moved to bass .	in 1996 , eric midkiff replaced glenn jones in the band and played the guitar , while hart switched to bass .	1
