sentence1	sentence2	label
John John Magufuli won the presidential election in October 2015 and secured a two-thirds majority in parliament , the other party or main party in Tanzania is called Chadema .	John Magufuli won the October 2015 presidential election and secured a two-thirds majority in parliament . The main party or other party in Tanzania is called Chadema .	1
He developed players like Stefan Bogomilov , Bozhil Kolev , Stefan Janev , Damyan Georgiev , Ivan Derventski , Spas Kirov , Nedko Nedev .	He developed players like Nedko Nedev , Ivan Derventski , Spas Kirov , Stefan Bogomilov , Bozhil Kolev , Stefan Yanev , Damyan Georgiev .	1
Helvarg has broadcast more than 40 television documentaries produced by PBS , The Discovery Channel , and others .	More than 40 television documentaries produced by PBS , The Discovery Channel and others were broadcast .	1
When John III died in 1378 , John II inherited most of these possessions .	Johannes III died in 1378 , when John II inherited most of these possessions .	1
Thomas Gluyas was born in Moonta Mines , the fourth son of William Gluyas , a leading Pitman .	Thomas Gluyas was born at Moonta Mines the fourth son of William Gluyas , a leading pitman .	1
The Ciolanu river is a tributary of the River Albele in Romania .	The Ciolanu River is a tributary of the Albele River in Romania .	1
Walter Hart ( or Walter Lyhert , died May 24 , 1472 ) was a medieval bishop of Norwich .	Walter Hart ( or Walter Lyhert ; died 24 May 1472 ) was a medieval Bishop of Norwich .	1
During the First World War , Cary served with a German regiment fighting in the Nigerian colony of Cameroon .	During the First World War , Cary served a German regiment in the Nigerian colony of Cameroon .	1
Główczyce is a non-operational PKP railway station in Poland ( Główczyce ) , Pomeranian Voivodeship .	Główczyce is a non-operational PKP station in Poland ( Główczyce ) , Pomeranian Voivodeship .	1
His son John James was a prominent architect working in Winnipeg , and his son George was also an architect in Montreal .	His son John James was a prominent architect active in Winnipeg and his son George was also an architect active in Montreal .	1
The music for the first series was produced by Takeo Yamashita with vocal performances on tracks by Charlie Kosei .	The music for the first series was created by Takeo Yamashita , with vocal performances on tracks by Charlie Kosei .	1
Pohl-Stroher was born on 18 January 1919 in Wurzen in Saxony , Vogtland and grew up in Rothenkirchen in East Germany .	Pohl-Stroher was born on 18 January 1919 in Wurzen in Saxony , Vogtland and grew up in Rothenkirchen , East Germany .	1
Boas used his positions at Columbia University and the American Museum of Natural History to develop and train multiple generations of students .	His positions at Columbia University and the American Museum of Natural History he used to train and develop several generations of students .	1
Rapper Eminem mentions Dr. Dre in his song Guilty Conscience , in which Dee Barnes is featured .	Rapper Eminem mentions Dr. Dre in his song Guilty Conscience , in which Dee Barnes occurs .	1
Kiss Country plays a mix of modern and older country music , with greater emphasis on current artists .	Kiss Country plays a mix of modern and older country music , with more emphasis on current artists .	1
In any case , the output is often equalized and sent to the load , and the output capacitors are then included to filter the switching noise .	In any case , the output is often rectified and sent to the load . Capacitors are then included at the output to filter the switching noise .	1
Simpson is also part of the municipality of Simpson and Ashland , which now includes Ashland and West Ashland .	Simpson is now part of the civil parish of Simpson and Ashland , which also includes Ashland and West Ashland .	1
Born in Retford , Nottinghamshire , as a boy he moved south to the Wiseton Estate , near Gosforth , Northumberland when his father found work there .	Born in Retford , Nottinghamshire , he moved as a boy to Wiseton Estate , near Gosforth , Northumberland , when his father found jobs there .	1
In August 2017 , Hardy joined Sky Sports as an analyst for Floyd Mayweather vs. Conor McGregor .	Hardy came to Sky Sports in August 2017 as an analyst for Floyd Mayweather vs. Conor McGregor .	1
He has been a Liberal member of the Victorian Legislative Council since October 1992 , representing Eastern Metropolitan Region from 1992 to 2006 and Koonung Province since .	Since October 1992 , he has been a liberal member of the Victorian Legislative Council , representing the eastern metropolitan region from 1992 to 2006 , and since then the province of Koonung .	1
The song was produced by Calvo Da Gr8 and wrote by The Writing Camp .	The song was produced by Calvo Da Gr8 and written by The Writing Camp .	1
The 1990 PBA season was the 16th season of the Philippine Basketball Association ( PBA ) .	The season 1990 PBA was the 16th season of the Philippine Basketball Association ( PBA ) .	1
With 10 goals , Ishmael Miller was top scorer in all competitions , followed by James Hayter with 8 goals .	Nottingham Forest loanee Ishmael Miller was top scorer in all competitions with 10 goals , followed by James Hayter with 8 goals .	1
Trina , better known as Taylor Katrina Laverne , is a rapper .	Trina , better known as Katrina Laverne Taylor , is a rapper .	1
""" Bonne Citoyenne "" had the misfortune to be damaged in a storm and to become separated from the rest of the French squadron ."	""" Bonne Citoyenne "" had the misfortune to be damaged in a storm and separated from the rest of the French squadron ."	1
Fontaine Charles-Péguy , Square Charles Péguy , rue Montempoivre 1989 , Alain Gilot , architect , and Liliane Grunig Tribel , landscape architect .	Fontaine Charles - Péguy , Square Charles Péguy , rue Montempoivre 1989 , architect Alain Gilot , and Liliane Grunig Tribel , landscape architect .	1
Although neither Chandidas nor Maladhar Basu were Vaishnavas , they were to lay the foundation for much of the following Vaishnava poetry in Bengal .	Although neither Maladhar Basu nor Chandidas were Vaishnavas , they should lay the foundation for much of the following Vaishnava poetry in Bengal .	1
""" The Evolution of Dance "" is the ninth interlude and the second track on the album ."	""" The Evolution of Dance "" is the ninth interplay and the second track on the album ."	1
They came to Russia from Poland in the eighteenth century , and their language includes Russian , German and Polish words .	They came to Russia in the 18th century from Poland , and their language includes Russian , German , and Polish words .	1
Aditya is carried to a tiny island where he helps the magical locals defeat the giant Jhamunda .	Aditya is worn on a tiny island where he helps the magical locals to defeat the giant Jhamunda .	1
While octreotide has reduced the terminal threonin to the corresponding amino alcohol .	While octreotide has the terminal threonine reduced to the corresponding amino alcohol .	1
The Chinese ambassador in Apia is the official representative of the Government in Beijing to the Government of Samoa .	The Chinese Ambassador to Apia is the official representative of the government in Beijing with the Samoa government .	1
He arrived in the summer of 2013 together with his teammate Haris Hajradinović from Croatian club AS Trenčín to NK Inter Zaprešić .	He came to NK Inter Zaprešić in summer 2013 together with his teammate Haris Hajradinović from Croatian club , AS Trenčín .	1
His three sisters included Mary Caroline Bulkeley , who married Roland Redmond , Helen C. Bulkeley .	His three sisters included Mary Caroline Bulkeley , who married Roland Redmond , Helen C. Bulkeley ( b .	1
It was written by Leslie H. Martinson , directed by George Kirgo and was originally sent on NBC on 5 April 1982 .	It was written by Leslie H. Martinson , directed by George Kirgo and was originally broadcast April 5 , 1982 on NBC .	1
The 1990 Philadelphia Wings season marked the team 's second season of operation and fourth league championship .	The 1990 Philadelphia Wings season marked the second season of the team operation and fourth championship .	1
This balance was inserted into the accumulator when the card was read into the car .	This balance was inserted into the accumulator when the card was read into the carriage .	1
It was printed in 1985 by Kids Can Press and published by Everbest in Hong Kong .	It was printed in 1985 by Kids Can Press and published in Hong Kong by Everbest .	1
Originally sponsored by the now deceased Mystic District Planning Coalition , the DC PNO is currently sponsored by the Open Hearth Foundation .	Originally sponsored by the now defunct Mystic District Planning Coalition , the DC area PNO is currently sponsored by The Open Hearth Foundation .	1
Scott was born in Chester County , Pennsylvania , and was buried in Parkesburg , Pennsylvania .	Scott was born in Chester County , Pennsylvania , and was buried in Pennsylvania , Parkesburg .	1
"In Australia , "" The Other Man 's Grass Is Always Greener "" reached # 30 while in South Africa the track achieved a # 19 chart peak ."	"Achieved in Australia "" The other man 's grass is always greener in place , while in South Africa the track reached a chart peak of 19 ."	1
The Turks , Tibetans , Muslim Arabs and the Tang competed for control over Central Asia until the collapse of the Tang in the 10th century .	The Turks , Tibetans , Muslim Arabs , and the Tang competed for control of Central Asia until the tang ' s collapse in the 10th century .	1
After passing through Bryson City and flowing around the Bryson City Island Park , the Tuckasegee flows southwestward for another before emptying into the Little Tennessee River .	After passing through Bryson City and the Bryson City Island Park , the Tuckasegee flows southwest for another before flowing into the Little Tennessee River .	1
It was built in 1988 by Jim Bell and William Feldstein and has been developed by H & amp ; H .	It was built in 1988 by Jim Bell and William Feldstein and developed by H & H .	1
If Tomin is told by a prior to kill them , he refuses , and Mitchell kills the prior , whose powers were blocked by the anti-prior device .	When Tomin is ordered by a Prior to kill them , he refuses , and Mitchell kills the Prior , whose powers were being blocked by the Anti-Prior device .	1
The Casimcea River is a tributary of the River Valea Lungă in Romania .	The Casimcea River is a tributary of the Valea Lungă River in Romania .	1
Faiyaz Ali Khan was to Sir Muhammad Faiz Ali Khan in 1851 .	Faiyaz Ali Khan was born in 1851 to Sir Muhammad Faiz Ali Khan .	1
The fortress was besieged again from 22 December 1813 until 14 April 1814 by French troops under the command of General Zoller before the Bavarian garrison surrendered .	From 22 December 1813 to 14 April 1814 , the fortress was once again besieged by French troops under the command of General Zoller , before the Bavarian garrison capitulated .	1
This is also a shearing effect : when the focal length is smaller , the shearing effect is greater .	This is also a shearing effect : when the focal length is smaller , the shearing effect is larger .	1
The polychrome mosaics of the villa are geometric designs , stylistically close to North African mosaics , and damaged areas indicate that figures were also included .	The polychrome mosaics of the villa are geometric designs , stylistically close to North African mosaics , and damaged areas suggest figures were also included .	1
July 2013 to be announced .	Announced to be created July 2013 .	1
""" The Remarkable Rocket "" is a parody of aristocratic vanity and masculine conceit ."	""" The Remarkable Rocket "" is a parody of aristocratic vanity and masculine image ."	1
He was married twice , to Annie Kowalkowski and to Elizabeth Dettlaff , and had three daughters .	He was twice married to Annie Kowalkowski and Elizabeth Dettlaff , and had three daughters .	1
In most countries , a different organisation , a scout group , combines local sections into a single body .	In most countries a different organisation , a Scout Group , combines local sections together into a single body .	1
In 2015 it was renamed Philharmonie 2 as part of the Philharmonie de Paris when a larger symphony hall was built by Jean Nouvel and named Philharmonie 1 .	In 2015 it was renamed Philharmonie 2 as part of the Philharmonie de Paris , when a larger Symphony Hall was built by Jean Nouvel and Philharmonic 1 was named .	1
